borrower_id,borrower_name,department,book_id,title,author,category,subcategory,publication_year,borrow_date,return_date
5000,Budi Sukma,HR,1198,The Innovative History,Sari Yulianto,Teknologi,AI,2016,2025-07-19,2025-08-03
5001,Lina Setiawan,HR,1197,Understanding Power,Sari Ramadhan,Historis,Biografi,2010,2025-02-13,2025-03-14
5001,Lina Setiawan,HR,1118,The History of Discovery,Lina Hidayat,Historis,Sejarah Dunia,1993,2023-12-22,2024-01-08
5001,Lina Setiawan,HR,1194,Exploring Society,Lina Ramadhan,Historis,Biografi,2013,2025-01-20,2025-02-15
5002,Sari Pratama,IT,1256,A Journey through the Universe,Citra Kusuma,Sains,Kimia,2020,2025-04-08,2025-05-07
5002,Sari Pratama,IT,1234,The Art of Programming,Hadi Gunawan,Fiksi,Drama,2005,2023-10-04,2023-10-12
5003,Hadi Fauzi,Sales,1250,The Mysterious Science,Fajar Hidayat,Seni,Musik,2016,2023-09-30,2023-10-18
5003,Hadi Fauzi,Sales,1201,The Art of Programming,Rina Prasetyo,Seni,Seni Rupa,1991,2025-08-12,2025-08-30
5003,Hadi Fauzi,Sales,1080,The World of Ecology,Rina Fauzi,Teknologi,AI,2000,2024-09-09,2024-10-06
5004,Joko Hidayat,Sales,1131,The History of Revolution,Eka Sari,Fiksi,Puisi,2011,2024-10-12,2024-10-19
5005,Sari Nugroho,Marketing,1174,The Science of Gravity,Agus Saputra,Seni,Musik,1990,2025-07-15,2025-07-26
5005,Sari Nugroho,Marketing,1201,The Art of Programming,Rina Prasetyo,Seni,Seni Rupa,1991,2023-12-10,2024-01-09
5006,Maya Fauzi,Marketing,1123,The Science of Evolution,Agus Wibowo,Teknologi,AI,2019,2024-07-27,2024-08-22
5006,Maya Fauzi,Marketing,1293,A Journey through the Universe,Lina Putra,Seni,Musik,2016,2024-08-14,2024-09-04
5006,Maya Fauzi,Marketing,1078,The Science of Quantum Mechanics,Indah Prasetyo,Fiksi,Cerita Pendek,1993,2025-03-20,2025-03-31
5006,Maya Fauzi,Marketing,1218,The History of Revolution,Umar Nugroho,Fiksi,Drama,1995,2024-04-10,2024-05-07
5007,Eka Prasetyo,Marketing,1158,The World of Astronomy,Maya Halim,Seni,Teater,1999,2024-01-28,2024-02-17
5007,Eka Prasetyo,Marketing,1268,Understanding Power,Lina Santoso,Sains,Fisika,2016,2024-02-07,2024-03-05
5008,Tina Lestari,Operations,1285,The World of Medicine,Gita Fauzi,Teknologi,Keamanan Siber,2021,2025-03-10,2025-04-09
5009,Dewi Lestari,Operations,1015,The Art of Painting,Indah Ramadhan,Fiksi,Novel,1998,2024-11-08,2024-11-28
5009,Dewi Lestari,Operations,1163,A Journey through the Jungle,Joko Kusuma,Fiksi,Drama,2014,2024-07-18,2024-08-08
5010,Indah Kusuma,Marketing,1067,The Future of AI,Sari Sari,Fiksi,Drama,2017,2024-03-19,2024-03-26
5011,Umar Gunawan,Sales,1290,The History of Discovery,Lina Sukma,Seni,Fotografi,2018,2025-08-16,2025-09-07
5011,Umar Gunawan,Sales,1118,The History of Discovery,Lina Hidayat,Historis,Sejarah Dunia,1993,2024-01-27,2024-02-19
5011,Umar Gunawan,Sales,1013,Understanding Courage,Oka Wibowo,Fiksi,Cerita Pendek,2017,2025-05-23,2025-06-14
5011,Umar Gunawan,Sales,1183,The World of Medicine,Budi Halim,Teknologi,AI,2023,2025-09-10,2025-10-07
5011,Umar Gunawan,Sales,1040,A Journey through the Universe,Sari Wibowo,Seni,Teater,1998,2024-09-28,2024-10-10
5012,Maya Halim,Customer Service,1083,The History of Discovery,Umar Ramadhan,Historis,Biografi,1999,2024-04-30,2024-05-08
5012,Maya Halim,Customer Service,1098,The History of Discovery,Hadi Halim,Fiksi,Drama,1991,2024-11-03,2024-11-10
5013,Indah Putra,Marketing,1104,The Science of Evolution,Gita Lestari,Fiksi,Drama,2021,2024-03-11,2024-04-01
5013,Indah Putra,Marketing,1033,A Journey through the Universe,Oka Nugroho,Teknologi,Jaringan,2013,2025-06-04,2025-06-26
5014,Kiki Sukma,Marketing,1207,Mastering Biology,Dewi Halim,Sains,Matematika,1998,2024-10-19,2024-11-14
5014,Kiki Sukma,Marketing,1021,A Journey through the Jungle,Gita Ramadhan,Historis,Sejarah Lokal,2011,2025-04-19,2025-05-15
5014,Kiki Sukma,Marketing,1194,Exploring Society,Lina Ramadhan,Historis,Biografi,2013,2025-03-14,2025-04-06
5014,Kiki Sukma,Marketing,1160,The Art of Programming,Budi Setiawan,Fiksi,Puisi,2019,2025-06-29,2025-07-28
5015,Budi Fauzi,Finance,1233,The History of Discovery,Nina Kurniawan,Fiksi,Cerita Pendek,2015,2025-03-15,2025-04-03
5015,Budi Fauzi,Finance,1021,A Journey through the Jungle,Gita Ramadhan,Historis,Sejarah Lokal,2011,2023-10-22,2023-11-15
5015,Budi Fauzi,Finance,1125,A Journey through the Jungle,Eka Fauzi,Historis,Biografi,2008,2024-10-12,2024-11-04
5015,Budi Fauzi,Finance,1265,The History of Discovery,Indah Halim,Fiksi,Puisi,2011,2025-06-18,2025-06-26
5016,Gita Wibowo,Customer Service,1155,The Future of AI,Tina Setiawan,Historis,Biografi,2007,2024-11-17,2024-12-03
5016,Gita Wibowo,Customer Service,1146,Exploring Society,Dewi Hidayat,Teknologi,Jaringan,2012,2025-05-31,2025-06-08
5016,Gita Wibowo,Customer Service,1236,The World of Medicine,Agus Sukma,Fiksi,Cerita Pendek,2011,2025-08-18,2025-09-10
5016,Gita Wibowo,Customer Service,1085,The Science of Quantum Mechanics,Rina Setiawan,Teknologi,AI,2008,2024-02-04,2024-02-25
5017,Oka Pratama,Finance,1299,The Art of Writing,Joko Sari,Seni,Musik,2007,2024-01-28,2024-02-16
5017,Oka Pratama,Finance,1279,The Ancient Adventure,Maya Santoso,Teknologi,AI,1997,2024-11-08,2024-11-25
5018,Oka Santoso,IT,1103,The Science of Evolution,Kiki Hidayat,Sains,Matematika,2019,2024-08-08,2024-09-06
5018,Oka Santoso,IT,1232,Understanding Love,Kiki Sukma,Fiksi,Cerita Pendek,1999,2025-07-07,2025-08-05
5018,Oka Santoso,IT,1046,The Future of VR,Fajar Prasetyo,Sains,Biologi,2017,2024-02-26,2024-03-26
5018,Oka Santoso,IT,1128,The World of Ecology,Citra Kurniawan,Sains,Fisika,2002,2024-01-16,2024-01-25
5019,Dewi Sukma,Operations,1268,Understanding Power,Lina Santoso,Sains,Fisika,2016,2025-09-05,2025-09-24
